MONTH,SUPPLIER,FACTORY,COUNTRY,DPN,LOB,WATT_LEVEL,LR,CONSUMPTION,VID,CND,PID
JA,A,Kunshan,China,KCM82,Commercial,Medium,0,313,0,0,0
JA,A,Kunshan,China,KCM82,Commercial,Medium,0,12,0,0,0
JA,A,Kunshan,China,KCM82,Commercial,Medium,0,102,0,0,0
JA,A,Kunshan,China,KCM82,Commercial,Medium,0,33,0,0,0
JA,A,Kunshan,China,KCM82,Commercial,Medium,0,1660,0,0,0
JA,A,Kunshan,China,KG7VF,Commercial,Medium,0,12,0,0,0
JA,A,Kunshan,China,KG7VF,Commercial,Medium,0,112,0,0,0
JA,A,Kunshan,China,KG7VF,Commercial,Medium,0,42,0,0,0
JA,A,Kunshan,China,KG7VF,Commercial,Medium,0,106,0,0,0
JA,A,Kunshan,China,KG7VF,Commercial,Medium,0,28,0,0,0
JA,A,Kunshan,China,RRJDX,Commercial,Low,0,1,0,0,0
JA,A,Kunshan,China,TMFYT,Consumer,Medium,0,115,0,0,0
JA,A,Kunshan,China,TMFYT,Consumer,Medium,0,7,0,0,0
JA,A,Kunshan,China,TMFYT,Consumer,Medium,0,585,0,0,0
JA,A,Kunshan,China,TMFYT,Consumer,Medium,0,3,0,0,0
JA,A,Kunshan,China,WYCVV,Commercial,Low,0,18,0,0,0
JA,A,Kunshan,China,WYCVV,Commercial,Low,0,58,0,0,0
JA,A,Penang,Malaysia,CP6DF,Consumer,Medium,0,4,0,0,0
JA,A,Penang,Malaysia,GHXKY,Consumer,Medium,0,139,0,0,0
JA,A,Penang,Malaysia,GHXKY,Consumer,Medium,0,8,0,0,0
JA,A,Penang,Malaysia,GW0K9,Consumer,High,0,204,0,0,0
JA,A,Penang,Malaysia,GW0K9,Consumer,High,0,23,0,0,0
JA,A,Mumbai,India,FW8KR,Consumer,Low,1,132,1,0,0
JA,A,Mumbai,India,FW8KR,Consumer,Low,0,97,0,0,0
JA,A,Suzhou,China,6YV0V,Gaming,High,0,147,0,0,0
JA,A,Suzhou,China,FW8KR,Consumer,Low,0,1212,0,0,0
JA,A,Suzhou,China,HYWXJ,Gaming,Medium,0,1,0,0,0
JA,A,Suzhou,China,HYWXJ,Gaming,Medium,0,460,0,0,0
JA,A,Suzhou,China,RPJC3,Consumer,Low,0,35,0,0,0
JA,A,Chengdu,China,7FHHV,Consumer,Medium,0,1,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,6,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,10,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,144,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,31,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,172,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,30,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,30,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,34,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,6,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,911,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,72,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,304,0,0,0
JA,A,Chengdu,China,FW8KR,Commercial,Low,0,5,0,0,0
JA,A,Chengdu,China,FW8KR,Commercial,Low,0,578,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,17,0,0,0
JA,A,Chengdu,China,FW8KR,Consumer,Low,0,44,0,0,0
JA,A,Chengdu,China,FY8XM,Commercial,Low,0,30,0,0,0
JA,A,Chengdu,China,FY8XM,Commercial,Low,0,343,0,0,0
JA,A,Chengdu,China,RPJC3,Consumer,Low,0,7,0,0,0
JA,A,Chengdu,China,RPJC3,Consumer,Low,0,2,0,0,0
JA,B,Brasilia,Brazil,7GNNN,Consumer,Low,0,1163,0,0,0
JA,B,Brasilia,Brazil,7GNNN,Consumer,Low,1,1,1,0,0
JA,B,Brasilia,Brazil,7GNNN,Consumer,Low,0,7,0,0,0
JA,C,Brasilia,Brazil,2X39G,Commercial,Medium,0,53,0,0,0
JA,C,Brasilia,Brazil,2X39G,Commercial,Medium,0,1,0,0,0
JA,C,Brasilia,Brazil,2X39G,Commercial,Medium,0,84,0,0,0
JA,C,Brasilia,Brazil,2X39G,Commercial,Medium,0,9,0,0,0
JA,C,Brasilia,Brazil,2X39G,Commercial,Medium,0,100,0,0,0
JA,C,Brasilia,Brazil,2X39G,Commercial,Medium,0,2,0,0,0
JA,C,Brasilia,Brazil,2X39G,Commercial,Medium,0,26,0,0,0
JA,C,Brasilia,Brazil,2X39G,Commercial,Medium,0,95,0,0,0
JA,C,Brasilia,Brazil,3VC9Y,Commercial,Low,0,74,0,0,0
JA,C,Brasilia,Brazil,3VC9Y,Commercial,Low,0,214,0,0,0
JA,C,Brasilia,Brazil,3VC9Y,Commercial,Low,0,322,0,0,0
JA,C,Brasilia,Brazil,3VC9Y,Commercial,Low,0,117,0,0,0
JA,C,Brasilia,Brazil,7PY0D,Consumer,Low,0,31,0,0,0
JA,C,Brasilia,Brazil,7PY0D,Consumer,Low,0,476,0,0,0
JA,C,Brasilia,Brazil,8YPRW,Consumer,Low,0,2,0,0,0
JA,C,Brasilia,Brazil,99NF2,Consumer,Medium,0,160,0,0,0
JA,C,Brasilia,Brazil,99NF2,Consumer,Medium,0,139,0,0,0
JA,C,Brasilia,Brazil,99NF2,Commercial,Medium,0,382,0,0,0
JA,C,Brasilia,Brazil,99NF2,Commercial,Medium,0,12,0,0,0
JA,C,Brasilia,Brazil,MYJ96,Commercial,Medium,0,15,0,0,0
JA,C,Brasilia,Brazil,MYJ96,Commercial,Medium,0,24,0,0,0
JA,C,Brasilia,Brazil,MYJ96,Commercial,Medium,0,32,0,0,0
JA,C,Brasilia,Brazil,MYJ96,Commercial,Medium,0,83,0,0,0
JA,C,Chengdu,China,99NF2,Consumer,Medium,0,47,0,0,0
JA,C,Chengdu,China,99NF2,Consumer,Medium,0,280,0,0,0
JA,C,Chengdu,China,99NF2,Commercial,Medium,0,328,0,0,0
JA,C,Kunshan,China,01D82,Gaming,High,0,2,0,0,0
JA,C,Kunshan,China,1V0PP,Consumer,Medium,0,2,0,0,0
JA,C,Kunshan,China,1V0PP,Consumer,Medium,0,81,0,0,0
JA,C,Kunshan,China,2X39G,Commercial,Medium,0,18,0,0,0
JA,C,Kunshan,China,2X39G,Commercial,Medium,0,6,0,0,0
JA,C,Kunshan,China,4RRR3,Gaming,Medium,0,14,0,0,0
JA,C,Kunshan,China,546FF,Gaming,Medium,0,90,0,0,0
JA,C,Kunshan,China,546FF,Gaming,Medium,0,1,0,0,0
JA,C,Kunshan,China,546FF,Gaming,Medium,0,1,0,0,0
JA,C,Kunshan,China,546FF,Gaming,Medium,0,34,0,0,0
JA,C,Kunshan,China,5D91C,Consumer,Medium,0,1,0,0,0
JA,C,Kunshan,China,5D91C,Consumer,Medium,0,47,0,0,0
JA,C,Kunshan,China,5D91C,Consumer,Medium,0,15,0,0,0
JA,C,Kunshan,China,5D91C,Consumer,Medium,0,338,0,0,0
JA,C,Kunshan,China,5D91C,Consumer,Medium,0,330,0,0,0
JA,C,Kunshan,China,5JT8G,Commercial,Low,0,5,0,0,0
JA,C,Kunshan,China,5JT8G,Commercial,Low,0,130,0,0,0
JA,C,Kunshan,China,5JT8G,Commercial,Low,0,3,0,0,0
JA,C,Kunshan,China,5XJ28,Consumer,High,0,14,0,0,0
JA,C,Kunshan,China,5XJ28,Consumer,High,0,151,0,0,0
JA,C,Kunshan,China,5XJ28,Consumer,High,0,700,0,0,0
JA,C,Kunshan,China,6CYH6,Commercial,Medium,0,169,0,0,0
JA,C,Kunshan,China,7M0T6,Consumer,High,0,8,0,0,0
JA,C,Kunshan,China,7M0T6,Consumer,High,0,305,0,0,0
JA,C,Kunshan,China,7M0T6,Consumer,High,0,147,0,0,0
JA,C,Kunshan,China,83XPC,Commercial,Medium,0,2,0,0,0
JA,C,Kunshan,China,83XPC,Commercial,Medium,0,48,0,0,0
JA,C,Kunshan,China,83XPC,Commercial,Medium,0,8,0,0,0
JA,C,Kunshan,China,83XPC,Commercial,Medium,0,15,0,0,0
JA,C,Kunshan,China,83XPC,Commercial,Medium,0,6,0,0,0
JA,C,Kunshan,China,83XPC,Commercial,Medium,0,6,0,0,0
JA,C,Kunshan,China,83XPC,Commercial,Medium,0,8,0,0,0
JA,C,Kunshan,China,C27RW,Commercial,Low,0,6,0,0,0
JA,C,Kunshan,China,C27RW,Commercial,Low,0,4,0,0,0
JA,C,Kunshan,China,CFX97,Commercial,Low,0,6,0,0,0
JA,C,Kunshan,China,CFX97,Commercial,Low,0,113,0,0,0
JA,C,Kunshan,China,DV9NT,Commercial,Medium,0,6,0,0,0
JA,C,Kunshan,China,DV9NT,Commercial,Medium,0,19,0,0,0
JA,C,Kunshan,China,DV9NT,Commercial,Medium,0,852,0,0,0
JA,C,Kunshan,China,DV9NT,Commercial,Medium,0,2,0,0,0
JA,C,Kunshan,China,DV9NT,Commercial,Medium,0,4,0,0,0
JA,C,Kunshan,China,DV9NT,Commercial,Medium,0,250,0,0,0
JA,C,Kunshan,China,FPT1C,Commercial,Medium,0,291,0,0,0
JA,C,Kunshan,China,FPT1C,Commercial,Medium,0,7,0,0,0
JA,C,Kunshan,China,FPT1C,Commercial,Medium,0,217,0,0,0
JA,C,Kunshan,China,FPT1C,Commercial,Medium,0,1692,0,0,0
JA,C,Kunshan,China,FPT1C,Commercial,Medium,0,168,0,0,0
JA,C,Kunshan,China,FPT1C,Commercial,Medium,0,1,0,0,0
JA,C,Kunshan,China,FPT1C,Commercial,Medium,0,211,0,0,0
JA,C,Kunshan,China,FPT1C,Commercial,Medium,0,7,0,0,0
JA,C,Kunshan,China,FPT1C,Commercial,Medium,0,891,0,0,0
JA,C,Kunshan,China,FPT1C,Commercial,Medium,0,213,0,0,0
JA,C,Kunshan,China,FPT1C,Consumer,Medium,0,1,0,0,0
JA,C,Kunshan,China,FPT1C,Consumer,Medium,0,36,0,0,0
JA,C,Kunshan,China,FTG78,Commercial,Low,0,125,0,0,0
JA,C,Kunshan,China,H6K6V,Consumer,Medium,0,2,0,0,0
JA,C,Kunshan,China,H6K6V,Consumer,Medium,0,75,0,0,0
JA,C,Kunshan,China,H6K6V,Consumer,Medium,0,3,0,0,0
JA,C,Kunshan,China,H6K6V,Consumer,Medium,0,51,0,0,0
JA,C,Kunshan,China,H754V,Consumer,Medium,0,11,0,0,0
JA,C,Kunshan,China,H754V,Consumer,Medium,0,13,0,0,0
JA,C,Kunshan,China,H754V,Consumer,Medium,0,2371,0,0,0
JA,C,Kunshan,China,H754V,Consumer,Medium,0,399,0,0,0
JA,C,Kunshan,China,MYJ96,Commercial,Medium,0,3,0,0,0
JA,C,Kunshan,China,MYJ96,Commercial,Medium,0,594,0,0,0
JA,C,Kunshan,China,MYJ96,Commercial,Medium,0,108,0,0,0
JA,C,Kunshan,China,MYJ96,Commercial,Medium,0,2051,0,0,0
JA,C,Kunshan,China,MYJ96,Commercial,Medium,0,68,0,0,0
JA,C,Kunshan,China,MYJ96,Commercial,Medium,0,1660,0,0,0
JA,C,Kunshan,China,RNP72,Consumer,Medium,0,160,0,0,0
JA,C,Kunshan,China,X16TW,Commercial,Low,0,1,0,0,0
JA,C,Kunshan,China,Y07HK,Commercial,Low,0,134,0,0,0
JA,C,Kunshan,China,Y07HK,Commercial,Low,0,1,0,0,0
JA,C,Kunshan,China,Y07HK,Commercial,Low,0,427,0,0,0
JA,C,Kunshan,China,Y07HK,Commercial,Low,0,118,0,0,0
JA,C,Penang,Malaysia,83XPC,Commercial,Medium,0,15,0,0,0
JA,C,Penang,Malaysia,83XPC,Commercial,Medium,0,2,0,0,0
JA,C,Penang,Malaysia,83XPC,Commercial,Medium,0,1,0,0,0
JA,C,Penang,Malaysia,FPT1C,Commercial,Medium,0,4,0,0,0
JA,C,Penang,Malaysia,FPT1C,Commercial,Medium,0,136,0,0,0
JA,C,Penang,Malaysia,FPT1C,Commercial,Medium,0,21,0,0,0
JA,C,Penang,Malaysia,MYJ96,Commercial,Medium,0,3,0,0,0
JA,C,Mumbai,India,8YPRW,Consumer,Low,0,424,0,0,0
JA,C,Taoyuan,China,GK3D3,Commercial,Medium,0,315,0,0,0
JA,C,Taoyuan,China,GK3D3,Commercial,Medium,0,2,0,0,0
JA,C,Taoyuan,China,GK3D3,Commercial,Medium,0,78,0,0,0
JA,C,Taoyuan,China,GK3D3,Commercial,Medium,0,10,0,0,0
JA,C,Taoyuan,China,GK3D3,Commercial,Medium,0,32,0,0,0
JA,C,Taoyuan,China,GK3D3,Commercial,Medium,0,5,0,0,0
JA,C,Chengdu,China,1GGDK,Commercial,Medium,0,690,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,1,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,6,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,166,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,1070,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,130,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,4601,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,5,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,559,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,283,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,1015,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,3,0,0,0
JA,C,Chengdu,China,7PY0D,Consumer,Low,0,273,0,0,0
JA,C,Chengdu,China,8YPRW,Consumer,Low,0,12,0,0,0
JA,C,Chengdu,China,8YPRW,Consumer,Low,0,11,0,0,0
JA,C,Chengdu,China,8YPRW,Consumer,Low,0,720,0,0,0
JA,C,Chengdu,China,8YPRW,Consumer,Low,0,13,0,0,0
JA,C,Chengdu,China,8YPRW,Consumer,Low,0,16,0,0,0
JA,C,Chengdu,China,8YPRW,Consumer,Low,0,492,0,0,0
JA,C,Chengdu,China,8YPRW,Commercial,Low,0,18,0,0,0
JA,C,Chengdu,China,8YPRW,Commercial,Low,0,1189,0,0,0
JA,C,Chengdu,China,99NF2,Consumer,Medium,0,53,0,0,0
JA,C,Chengdu,China,99NF2,Consumer,Medium,0,1,0,0,0
JA,C,Chengdu,China,99NF2,Consumer,Medium,0,120,0,0,0
JA,C,Chengdu,China,99NF2,Consumer,Medium,0,116,0,0,0
JA,C,Chengdu,China,99NF2,Consumer,Medium,0,268,0,0,0
JA,C,Chengdu,China,99NF2,Commercial,Medium,0,226,0,0,0
JA,C,Chengdu,China,99NF2,Commercial,Medium,0,648,0,0,0
JA,C,Chengdu,China,99NF2,Commercial,Medium,0,2,0,0,0
JA,C,Chengdu,China,Y07HK,Commercial,Low,0,2,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,11434,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,1526,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,2926,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,109,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,462,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,1,0,0,0
JA,D,Chengdu,China,CYMGM,Commercial,Low,0,564,0,0,0
JA,D,Chengdu,China,CYMGM,Commercial,Low,0,1568,0,0,0
JA,D,Chengdu,China,CYMGM,Commercial,Low,0,984,0,0,0
JA,D,Chengdu,China,CYMGM,Commercial,Low,0,820,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,426,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,0,2587,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,0,622,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,0,898,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,0,1057,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,1,1,0,1,0
JA,D,Chengdu,China,W7NKD,Commercial,Medium,0,1663,0,0,0
JA,D,Chengdu,China,W7NKD,Commercial,Medium,0,493,0,0,0
JA,D,Chengdu,China,W7NKD,Commercial,Medium,0,3379,0,0,0
JA,D,Chengdu,China,W7NKD,Commercial,Medium,0,492,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,0,73,0,0,0
JA,D,Kunshan,China,45N3J,Commercial,Low,0,28,0,0,0
JA,D,Kunshan,China,45N3J,Commercial,Low,0,921,0,0,0
JA,D,Kunshan,China,45N3J,Commercial,Low,0,238,0,0,0
JA,D,Kunshan,China,45N3J,Commercial,Low,0,458,0,0,0
JA,D,Kunshan,China,45N3J,Commercial,Low,0,2951,0,0,0
JA,D,Kunshan,China,45N3J,Commercial,Low,0,139,0,0,0
JA,D,Kunshan,China,45N3J,Commercial,Low,0,5,0,0,0
JA,D,Kunshan,China,45N3J,Commercial,Low,0,37,0,0,0
JA,D,Kunshan,China,45N3J,Commercial,Low,0,999,0,0,0
JA,D,Kunshan,China,45N3J,Commercial,Low,0,3,0,0,0
JA,D,Kunshan,China,CYMGM,Commercial,Low,0,1,0,0,0
JA,D,Kunshan,China,CYMGM,Commercial,Low,0,1639,0,0,0
JA,D,Kunshan,China,CYMGM,Commercial,Low,0,1042,0,0,0
JA,D,Kunshan,China,GR5D3,Consumer,Medium,0,2,0,0,0
JA,D,Kunshan,China,GR5D3,Consumer,Medium,0,1,0,0,0
JA,D,Kunshan,China,MT31P,Commercial,Medium,0,79,0,0,0
JA,D,Kunshan,China,MT31P,Commercial,Medium,0,6,0,0,0
JA,D,Kunshan,China,MT31P,Commercial,Medium,0,54,0,0,0
JA,D,Kunshan,China,MT31P,Commercial,Medium,0,3,0,0,0
JA,D,Kunshan,China,MT31P,Commercial,Medium,0,6,0,0,0
JA,D,Kunshan,China,MT31P,Consumer,Medium,0,12,0,0,0
JA,D,Kunshan,China,TWCPG,Consumer,High,0,31,0,0,0
JA,D,Kunshan,China,TWCPG,Consumer,High,0,50,0,0,0
JA,D,Kunshan,China,V4940,Commercial,Medium,0,106,0,0,0
JA,D,Kunshan,China,V4940,Commercial,Medium,0,31,0,0,0
JA,D,Kunshan,China,V4940,Commercial,Medium,0,174,0,0,0
JA,D,Kunshan,China,V4940,Commercial,Medium,0,20,0,0,0
JA,D,Kunshan,China,V4940,Commercial,Medium,0,122,0,0,0
JA,D,Penang,Malaysia,45N3J,Commercial,Low,0,1,0,0,0
JA,D,Penang,Malaysia,45N3J,Commercial,Low,0,81,0,0,0
JA,D,Penang,Malaysia,GR5D3,Consumer,Medium,0,26,0,0,0
JA,D,Penang,Malaysia,TWCPG,Consumer,High,0,52,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,3,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,19,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,43,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,3037,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,166,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,103,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,413,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,10,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,11,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,153,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,76,0,0,0
JA,D,Chengdu,China,CYMGM,Commercial,Low,0,149,0,0,0
JA,D,Chengdu,China,CYMGM,Commercial,Low,0,80,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,29,0,0,0
JA,D,Chengdu,China,CYMGM,Consumer,Low,0,113,0,0,0
JA,D,Chengdu,China,PGYK5,Consumer,Low,0,2168,0,0,0
JA,D,Chengdu,China,PGYK5,Consumer,Low,0,1932,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,0,14,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,0,1,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,0,7,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,0,55,0,0,0
JA,D,Chengdu,China,W7NKD,Consumer,Medium,0,61,0,0,0
JA,D,Chengdu,China,W7NKD,Commercial,Medium,0,1447,0,0,0
JA,D,Chengdu,China,W7NKD,Commercial,Medium,0,343,0,0,0
JA,E,Brasilia,Brazil,GD1JP,Commercial,Medium,0,211,0,0,0
JA,E,Brasilia,Brazil,GD1JP,Commercial,Medium,0,1158,0,0,0
JA,E,Brasilia,Brazil,GR437,Consumer,Low,0,123,0,0,0
JA,E,Brasilia,Brazil,GR437,Consumer,Low,0,52,0,0,0
JA,E,Brasilia,Brazil,GR437,Consumer,Low,0,681,0,0,0
JA,E,Brasilia,Brazil,GR437,Consumer,Low,0,31,0,0,0
JA,E,Brasilia,Brazil,VN3N0,Consumer,Low,0,159,0,0,0
JA,E,Brasilia,Brazil,VN3N0,Consumer,Low,0,757,0,0,0
JA,E,Brasilia,Brazil,VN3N0,Consumer,Low,0,173,0,0,0
JA,E,Brasilia,Brazil,Y3F7Y,Consumer,Low,0,186,0,0,0
JA,E,Brasilia,Brazil,Y3F7Y,Consumer,Low,0,198,0,0,0
JA,E,Brasilia,Brazil,Y3F7Y,Consumer,Low,0,371,0,0,0
JA,E,Brasilia,Brazil,Y3F7Y,Consumer,Low,0,823,0,0,0
JA,E,Brasilia,Brazil,Y3F7Y,Commercial,Low,0,1254,0,0,0
JA,E,Brasilia,Brazil,Y3F7Y,Commercial,Low,0,90,0,0,0
JA,E,Brasilia,Brazil,Y3F7Y,Consumer,Low,0,168,0,0,0
JA,E,Chengdu,China,Y3F7Y,Consumer,Low,0,2,0,0,0
JA,E,Chengdu,China,Y3F7Y,Consumer,Low,0,1,0,0,0
JA,E,Chengdu,China,Y3F7Y,Consumer,Low,0,1,0,0,0
JA,E,Kunshan,China,0WMRC,Consumer,High,0,57,0,0,0
JA,E,Kunshan,China,0WMRC,Consumer,High,0,516,0,0,0
JA,E,Kunshan,China,0WMRC,Consumer,High,0,13,0,0,0
JA,E,Kunshan,China,0WMRC,Consumer,High,0,593,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,1,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,44,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,121,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,55,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,63,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,3338,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,246,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,143,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,114,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,925,0,0,0
JA,E,Kunshan,China,D4CMT,Commercial,Medium,0,27,0,0,0
JA,E,Kunshan,China,DM3WC,Commercial,Medium,0,372,0,0,0
JA,E,Kunshan,China,DM3WC,Commercial,Medium,0,1573,0,0,0
JA,E,Kunshan,China,DM3WC,Commercial,Medium,0,2223,0,0,0
